,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Pred_Class
438,2.0,15.6,1920.0,1080.0,2,8,128,2,3,6,5
439,2.0,15.6,1920.0,1080.0,2,8,256,2,0,6,5
440,2.0,15.6,1920.0,1080.0,2,8,256,2,3,6,5
441,2.0,15.6,1920.0,1080.0,2,8,256,2,4,6,3
442,2.0,15.6,1920.0,1080.0,2,8,500,0,3,6,3
443,2.0,15.6,1920.0,1080.0,2,8,512,2,4,6,3
444,2.0,15.6,1920.0,1080.0,2,8,1128,1,4,6,6
445,2.0,15.6,1920.0,1080.0,2,8,1256,1,3,6,6
446,2.0,15.6,1920.0,1080.0,2,16,512,2,3,6,5
447,2.0,15.6,3840.0,2160.0,2,8,1256,1,4,6,6
448,2.0,15.6,3840.0,2160.0,2,16,512,2,4,6,8
449,2.0,17.3,1920.0,1080.0,2,4,1000,0,4,6,3
450,2.02,14.0,1366.0,768.0,2,4,500,0,3,6,5
451,2.02,14.0,1920.0,1080.0,2,8,256,2,3,6,5
452,2.02,15.6,1920.0,1080.0,2,8,1128,1,3,6,6
453,2.02,15.6,1920.0,1080.0,2,8,2000,0,0,6,0
454,2.02,15.6,1920.0,1080.0,2,8,2128,1,0,6,0
455,2.02,15.6,1920.0,1080.0,2,8,2256,1,0,6,0
457,2.03,15.6,1366.0,768.0,0,4,1000,0,0,6,3
458,2.04,15.4,2880.0,1800.0,2,16,256,2,3,2,8
459,2.04,15.6,1366.0,768.0,0,8,2000,0,0,6,0
460,2.04,15.6,1366.0,768.0,2,4,256,2,3,6,5
461,2.04,15.6,1366.0,768.0,2,4,500,0,3,6,5
462,2.04,15.6,1366.0,768.0,2,4,1000,0,3,6,3
463,2.04,15.6,1366.0,768.0,2,6,1000,0,3,6,3
464,2.04,15.6,1366.0,768.0,2,8,1000,0,3,6,3
465,2.04,15.6,1366.0,768.0,2,8,1000,0,4,6,3
466,2.04,15.6,1366.0,768.0,2,8,2000,0,3,6,0
467,2.04,15.6,1920.0,1080.0,0,6,1000,1,0,6,6
468,2.04,15.6,1920.0,1080.0,2,4,256,2,3,6,5
469,2.04,15.6,1920.0,1080.0,2,4,500,0,3,6,5
470,2.04,15.6,1920.0,1080.0,2,6,1000,0,0,6,3
471,2.04,15.6,1920.0,1080.0,2,8,256,2,3,6,5
472,2.04,15.6,1920.0,1080.0,2,8,256,2,4,6,3
473,2.04,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
474,2.04,15.6,1920.0,1080.0,2,8,1000,0,4,6,3
475,2.04,15.6,1920.0,1080.0,2,8,1128,1,4,6,6
476,2.04,15.6,3840.0,2160.0,2,8,256,2,4,6,8
477,2.05,15.6,1366.0,768.0,2,8,1000,0,3,6,3
478,2.05,15.6,1920.0,1080.0,2,4,128,2,3,6,5
479,2.05,15.6,1920.0,1080.0,2,4,500,0,3,6,5
480,2.05,15.6,1920.0,1080.0,2,8,256,2,3,6,5
481,2.06,15.6,1366.0,768.0,2,4,500,0,3,6,5
482,2.06,15.6,1920.0,1080.0,2,8,256,2,4,6,3
483,2.06,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
484,2.06,15.6,1920.0,1080.0,2,16,512,2,4,6,5
485,2.06,15.6,3840.0,2160.0,2,8,256,2,4,6,8
486,2.06,15.6,3840.0,2160.0,2,12,1128,1,3,6,6
487,2.06,15.6,3840.0,2160.0,2,16,512,2,4,6,8
488,2.06,15.6,3840.0,2160.0,2,16,1000,2,4,6,6
489,2.06,15.6,3840.0,2160.0,2,32,1000,2,4,6,6
490,2.07,15.6,1366.0,768.0,2,4,500,0,3,6,5
491,2.07,15.6,1920.0,1080.0,2,4,500,0,3,6,5
492,2.08,15.0,1920.0,1080.0,2,4,500,0,3,6,3
493,2.08,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
494,2.08,15.6,1920.0,1080.0,2,8,256,2,0,6,5
495,2.08,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
497,2.09,15.6,1920.0,1080.0,2,8,256,2,3,6,5
