,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
2889,1.7,نوت بوک (لپ تاپ),15.6,TFT or TN,768 * 1366,INTEL,Core i3,i3-8130U,12.0,1024.0,HDD,,Intel,hd graphics,Dos,,,لپ تاپ لنوو 15 اینچی مدل Ideapad V130 پردازنده Core i3 رم 12GB حافظه 1TB گرافیک Intel,Ideapad V130 Core i3 8130U 12GB 1TB Intel HD Laptop,0.0
2890,2.39,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i7,i7 10750H,8.0,262144.0,SSD,,Nvidia,geforce gtx 1650,Windows X,,,لپ تاپ لنوو 15 اینچی مدل Legion 5 پردازنده Core i7 رم 8GB حافظه 256GB SSD گرافیک 4GB,Legion 5 Core i7 10750H 8GB 256 SSD 4GB Full HD Laptop,0.0
2891,1.9,نوت بوک (لپ تاپ),14.1,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-5200U,8.0,82944.0,"SSD, SATA",,Nvidia Gforce,gt 920m,Microsoft Windows 8.1,,,لپ تاپ لنوو سری یوگا 500 با پردازنده i5,Yoga 500 Core i5 8GB 1TB+8GB SSD 2GB Full HD,0.0
2892,1.7,نوت بوک (لپ تاپ),15.6,TFT or TN,768 * 1366,INTEL,Core i3,i3-8130U,8.0,1311744.0,Hybrid,,Intel,hd graphics,Dos,,,لپ تاپ لنوو 15 اینچی مدل Ideapad V130 پردازنده Core i3 رم 8GB حافظه 1TB 128GB SSD گرافیک Intel,Ideapad V130 Core i3 8130U 8GB 1TB 128GB SSD Intel HD Laptop,0.0
2893,1.7,نوت بوک (لپ تاپ),15.6,TFT or TN,768 * 1366,INTEL,Core i3,i3-8130U,12.0,1311744.0,Hybrid,,Intel,hd graphics,Dos,,,لپ تاپ لنوو 15 اینچی مدل Ideapad V130 پردازنده Core i3 رم 12GB حافظه 1TB 128GB SSD گرافیک Intel,Ideapad V130 Core i3 8130U 12GB 1TB 128GB SSD Intel HD Laptop,0.0
2895,2.2,نوت بوک (لپ تاپ),15.6,,768 * 1366,AMD,Ryzen 5,Ryzen 5 3500U,12.0,1024.0,HDD,,AMD,amd radeon tm vega 3,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V155 با پردازنده Ryzen 5 3500U رم 12GB حافظه 1TB گرافیک 2GB,V155 Ryzen 5 3500U 12GB 1TB 2GB HD Laptop,0.0
2896,1.9,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 10210U,8.0,1024.0,HDD,,AMD,amd radeon rx640,Dos,,,لپ تاپ لنوو 15 اینچی مدل ThinkPad E15 پردازنده Core i5 رم 8GB حافظه 1TB گرافیک 2GB,ThinkPad E15 Core i5 10210U 8GB 1TB 2GB Full HD Laptop,0.0
2898,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-8265U,12.0,2622464.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i5,Ideapad S540 Core i5 12GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2899,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-8265U,12.0,5243904.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i5,Ideapad S540 Core i5 12GB 1TB 512GB SSD 4GB Full HD Laptop,0.0
2900,2.2,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,AMD,Bristol Ridge,A6-9225,8.0,1024.0,HDD,,AMD Radeon,radeon 530,Dos,,,لپ تاپ لنوو 15 اینچی مدل IdeaPad S145 - N پردازنده A6 9225 رم 8GB حافظه 1TB گرافیک 2GB,IdeaPad S145 A6-9225 8GB 1TB 2GB HD Laptop,0.0
