url,price_after_discount,original_price
/product/117898/lenovo-ideapad-5-core-i7-1165g7-16gb-1tb-256gb-ssd-2gb-fhd-laptop/,"33,500,000 تومان",
/product/117040/lenovo-thinkbook-15-core-i3-1115g4-8gb-256gb-ssd-intel-fhd-laptop/,"15,990,000 تومان","16,090,000 تومان"
/product/133217/lenovo-ideapad-3-core-i7-1165g7-8gb-512gb-ssd-2gb-mx450-fhd-laptop/,"28,650,000 تومان","28,750,000 تومان"
/product/133292/lenovo-legion-5-core-i7-12700h-16gb-512gb-ssd-8gb-3070-wqhd-laptop/,"70,900,000 تومان","71,000,000 تومان"
/product/133293/lenovo-legion-5-core-i7-12700h-32gb-1tb-ssd-8gb-3070-wqhd-laptop/,"73,900,000 تومان","74,200,000 تومان"
/product/133294/lenovo-legion-5-core-i7-12700h-32gb-2tb-ssd-8gb-3070-wqhd-laptop/,"76,500,000 تومان",
/product/133315/lenovo-thinkbook-15-core-i3-1115g4-12gb-1tb-512gb-ssd-2gb-mx450-fhd-laptop/,"23,550,000 تومان",
/product/133339/ideapad-3-n4020-8gb-256gbssd-fhd-15inch/,"11,450,000 تومان","11,500,000 تومان"
/product/133777/lenovo-v15-g4-athlon-7120u-8gb-ddr5-256gb-ssd-radeon-610m-full-hd-laptop/,"13,530,000 تومان","13,730,000 تومان"
/product/134290/lenovo-thinkbook-15-core-i5-1135g7-8gb-256gb-ssd-2gb-mx450-full-hd-laptop/,"27,100,000 تومان",
/product/134274/lenovo-thinkbook-15-core-i7-1165g7-8gb-512gb-2gb-mx450-full-hd-laptop/,"31,550,000 تومان","31,600,000 تومان"
/product/134270/lenovo-v15-n4020-4gb-256gb-ssd-intel-hd-laptop/,"10,900,000 تومان","11,000,000 تومان"
/product/134271/lenovo-v15-n4020-4gb-512gb-ssd-intel-hd-laptop/,"11,900,000 تومان","12,000,000 تومان"
/product/134267/lenovo-v15-core-i5-1135g7-16gb-256gb-ssd-2gb-mx350-fhd-laptop/,"24,130,000 تومان",
/product/134268/lenovo-v15-core-i5-1135g7-16gb-512gb-ssd-2gb-mx350-fhd-laptop/,"25,150,000 تومان",
/product/133672/lenovo-ideapad-1-ryzen-3-7320u-4gb-ddr5-256gb-ssd-radeon-610m-full-hd-laptop/,"14,400,000 تومان","14,500,000 تومان"
/product/133673/lenovo-ideapad-1-ryzen-3-7320u-4gb-ddr5-512gb-ssd-radeon-610m-full-hd-laptop/,"15,150,000 تومان","15,200,000 تومان"
/product/134432/lenovo-v15-core-i3-1115g4-12gb-1tb-ssd-2gb-mx350-full-hd-laptop/,"20,750,000 تومان",
/product/134324/lenovo-ideapad-3-core-i5-1235u-16gb-512gb-ssd-intel-iris-full-hd-laptop/,"24,610,000 تومان","24,810,000 تومان"
/product/134325/lenovo-ideapad-3-core-i5-1235u-16gb-1tb-512gb-ssd-intel-iris-full-hd-laptop/,"26,130,000 تومان",
/product/134326/lenovo-ideapad-3-core-i5-1235u-8gb-1tb-512gb-ssd-intel-iris-full-hd-laptop/,"25,150,000 تومان","25,250,000 تومان"
/product/134338/lenovo-thinkbook-15-core-i3-1115g4-12gb-512gb-ssd-intel-fhd-laptop/,"17,130,000 تومان",
/product/134339/lenovo-thinkbook-15-core-i3-1115g4-12gb-512gb-ssd-2gb-mx450-fhd-laptop/,"21,550,000 تومان","21,600,000 تومان"
/product/134425/lenovo-ideapad-3-core-i3-1115g4-20gb-1tb-ssd-intel-fhd-laptop/,"18,350,000 تومان",
/product/134389/lenovo-ideapad-3-core-i3-1215u-20gb-512gb-ssd-intel-fhd-laptop/,"17,590,000 تومان",
/product/134397/lenovo-ideapad-3-core-i3-1115g4-12gb-1tb-ssd-intel-fhd-laptop/,"17,300,000 تومان","17,500,000 تومان"
