,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent,predicted_price
193,1.7,نوت بوک (لپ تاپ),16.0,wuxga,1200*1920,INTEL,Core i7,i7-1255U,8.0,528.0,SSD,SSD NVMe,Intel,irisplus,,31799000.0,31684000.0,لپ تاپ ایسوس 16 اینچی مدل VivoBook R1605ZA پردازنده Core i7 رم 8GB حافظه 512GB SSD گرافیک INTEL,VivoBook R1605ZA Core i7 1255U 8GB 512GB SSD INTEL WUXGA Laptop,0.36,57237687.5
194,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,8.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,30799000.0,30699000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i7 1165G7 رم 8GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i7 1165G7 8GB 512GB SSD 2GB MX330 FHD Laptop,0.32,33140307.14285714
195,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,16.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,31789000.0,31689000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i7 1165G7 رم 16GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i7 1165G7 16GB 512GB SSD 2GB MX330 FHD Laptop,0.31,33448117.14285714
196,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,12.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,31299000.0,31184000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i7 1165G7 رم 12GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i7 1165G7 12GB 512GB SSD 2GB MX330 FHD Laptop,0.37,32910182.14285714
198,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,8.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,27699000.0,26699000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 8GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i5 1135G7 8GB 512GB SSD 2GB MX330 FHD Laptop,3.61,30405307.5
199,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,1024.0,SSD,,Intel,uhd,,17999000.0,17864000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EA پردازنده Core i3 1115G4 رم 8GB حافظه 1TB SSD گرافیک Intel,VivoBook R565EA Core i3 1115G4 8GB 1TB SSD Intel Full HD Laptop,0.75,17193660.0
200,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,16.0,1024.0,SSD,SSD NVMe,Nvidia,geforcemx330,,29399000.0,29274000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 16GB حافظه 1TB SSD گرافیک 2GB,X515EP Core i5 1135G7 16GB 1TB SSD 2GB MX330 FHD Laptop,0.43,30379142.5
201,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,256.0,SSD,SSD NVMe,Intel,uhd,,16299000.0,15299000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 8GB حافظه 256GB SSD گرافیک Intel فول اچ دی,X515EA Core i3 1115G4 8GB 256GB SSD Intel Full HD Laptop,6.14,16632330.0
202,1.8,نوت بوک (لپ تاپ),15.6,oled,1080 * 1920,INTEL,Core i7,i7 1165G7,20.0,1024.0,SSD,SSD NVMe,Nvidia,geforcemx350,Dos,37299000.0,37174000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook K513EQ OLED پردازنده Core i7 1165G7 رم 20GB حافظه 1TB SSD گرافیک 2GB,VivoBook K513EQ OLED Core i7 1165G7 20GB 1TB SSD 2GB MX350 Full HD Laptop,0.34,34570717.14285714
203,1.8,نوت بوک (لپ تاپ),15.6,oled,1080 * 1920,INTEL,Core i7,i7 1165G7,20.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx350,Dos,35799000.0,35674000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook K513EQ OLED پردازنده Core i7 1165G7 رم 20GB حافظه 512GB SSD گرافیک 2GB,VivoBook K513EQ OLED Core i7 1165G7 20GB 512GB SSD 2GB MX350 Full HD Laptop,0.35,34472024.64285714
204,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,128.0,Hybrid,SSD NVMe,Intel,uhd,,17099000.0,16934000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 8GB حافظه 1TB 128GB SSD گرافیک Intel فول اچ دی,X515EA Core i3 1115G4 8GB 1TB 128GB SSD Intel Full HD Laptop,0.96,16526890.0
205,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,256.0,Hybrid,SSD NVMe,Intel,uhd,,17399000.0,17249000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 8GB حافظه 1TB 256GB SSD گرافیک Intel فول اچ دی,X515EA Core i3 1115G4 8GB 1TB 256GB SSD Intel Full HD Laptop,0.86,16526890.0
207,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,12.0,256.0,Hybrid,,Nvidia,geforcemx330,,35729000.0,35594000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 12GB حافظه 1TB 256GB SSD گرافیک 2GB,VivoBook R565EP Core i7 1165G7 12GB 1TB 256GB SSD 2GB Full HD Laptop,0.38,34084627.5
209,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,12.0,256.0,Hybrid,SSD NVMe,Intel,uhd,,18299000.0,18179000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 12GB حافظه 1TB 256GB SSD گرافیک Intel فول اچ دی,X515EA Core i3 1115G4 12GB 1TB 256GB SSD Intel Full HD Laptop,0.66,17153870.0
210,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,16.0,256.0,Hybrid,SSD NVMe,Nvidia,geforcemx330,,36399000.0,36199000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 16GB حافظه 1TB 256GB SSD گرافیک 2GB,VivoBook R565EP Core i7 1165G7 16GB 1TB 256GB SSD 2GB Full HD Laptop,0.55,34599552.5
213,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,8.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,33299000.0,33174000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 8GB حافظه 512GB SSD گرافیک 2GB,VivoBook R565EP Core i7 1165G7 8GB 512GB SSD 2GB Full HD Laptop,0.38,33140307.14285714
214,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i3,I3-1115G4,4.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,Dos,20599000.0,20484000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i3 1115G4 رم 4GB حافظه 512GB SSD گرافیک 2GB,VivoBook R565EP Core i3 1115G4 4GB 512GB SSD 2GB MX330 Full HD Laptop,0.56,17280982.5
215,2.2,نوت بوک (لپ تاپ),15.6,ips,1080 * 1920,INTEL,Core i7,i7-12650H,32.0,1024.0,SSD,SSD NVMe,Nvidia,rtx3050,,50850000.0,50750000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad Gaming 3 پردازنده Core i7 12650H رم 32GB حافظه 1TB SSD گرافیک 4GB 3050,IdeaPad Gaming 3 Core i7 12650H 32GB 1TB SSD 4GB 3050 FHD Laptop,0.2,51531570.0
216,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,16.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,35299000.0,35189000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 16GB حافظه 512GB SSD گرافیک 2GB,VivoBook R565EP Core i7 1165G7 16GB 512GB SSD 2GB Full HD Laptop,0.31,33448117.14285714
