,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
1404,2.1 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i3,i3-7020U,4.0,1024.0,SATA,,Intel,HD Graphic 610,Dos,,,لپ تاپ 15 اینچی ایسر مدل Aspire A315-53G-35N0,Aspire A315-53G-35N0 Core i3 4GB 1TB Intel Laptop,0.0
1405,1.58 KG,نوت بوک (لپ تاپ),11.0,TFT LED-backlit LCD,768 * 1366,INTEL,Pentium,Pentium-N3710,4.0,512000.0,SATA,,Intel,HD Graphics 405,,,,لپ تاپ ایسر اسپایر مدل ای R3 با پردازنده پنتیوم و صفحه نمایش لمسی,Aspire R3 N3710 4GB 500GB Intel Touch Laptop,0.0
1407,2.2 KG,نوت بوک (لپ تاپ),15.6,178 Wide View,1080 * 1920,INTEL,Core i7,i7-8750H,16.0,2622464.0,SSDHDD,,Nvidia Gforce,GTX 1060,,,,لپ تاپ ایسوس مدل TUF Gaming FX505GM با پردازنده i7,TUF Gaming FX505GM Core i7 16GB 1TB With 256GB SSD 6GB Full HD Laptop,0.0
1409,2.1 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,AMD,,A4-9120,4.0,1024.0,HDD,,AMD Radeon,R5 M530,,,,لپ تاپ ایسر مدل اسپایر A315-21 با پردازنده AMD,Aspire A315-21 A4-9120 4GB 1TB 2GB Laptop,0.0
1410,1.7 KG,نوت بوک (لپ تاپ),15.6,TFT LED-Backlit LCD,1080 * 1920,INTEL,Core i5,i5-8250U,12.0,1024.0,HDD,,Nvidia Gforce,MX130 GDDR5,Dos,,,لپ تاپ ایسوس مدل S510UF با پردازنده i5 و صفحه نمایش فول‌ اچ دی,VivoBook S15 S510UF Core i5 12GB 1TB 2GB Full HD Laptop,0.0
1411,1.5 KG,نوت بوک (لپ تاپ),15.6,178°wide-view technology,1080 * 1920,INTEL,Core i7,i7-8550U,12.0,1024.0,HDD,,Nvidia Gforce,MX130 GDDR5,Dos,,,لپ تاپ ایسوس مدل VivoBook X510UF با پردازنده i7 و صفحه نمایش اچ دی,VivoBook X510UF Core i7 12GB 1TB 2GB Full HD Laptop,0.0
1413,1.4 KG,نوت بوک (لپ تاپ),14.0,178°wide-view,1080 * 1920,INTEL,Core i7,i7-8565U,12.0,2622464.0,SSDHDD,,Nvidia Gforce,MX150,,,,لپ تاپ ایسوس مدل VivoBook S14 S430FN با پردازنده i7 و صفحه نمایش فول اچ دی,VivoBook S14 S430FN Core i7 12GB 1TB With 256GB SSD 2GB Full HD Laptop,0.0
1414,2.3 KG,نوت بوک (لپ تاپ),15.6,TFT LED-Backlit LCD,1080 * 1920,INTEL,Core i5,i5-8250U,8.0,1024.0,SATA,,Nvidia Gforce,940MX,Dos,,,لپ تاپ ایسوس مدل VivoBook 15 X542UQ با پردازنده i5 و صفحه نمایش اچ دی,VivoBook 15 X542UQ Core i5 8GB 1TB 2GB Full HD Laptop,0.0
1415,2.3 KG,,15.6,IPS LCD,1080 * 1920,INTEL,Core i7,i7-4510U,8.0,1024.0,SATA,,Nvidia Gforce,GT 840M,Dos,,,لپ تاپ لنوو سری فلکس با پردازنده i7 و صفحه نمایش لمسی,FLEX2-Core-i7-8GB-1TB-2GB-Touch,0.0
1416,2.32 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Core i7,i7-6500U,8.0,1024.0,SATA,,AMD Radeon,R5 M330,Dos,,,لپ تاپ لنوو مدل بی 5180 با پردازنده i7,B5180 Core i7 8GB 1TB 2GB Laptop,0.0
